,frequency
can get annoyed though,1
can get it guaranteed,1
can get it,1
can get in the,1
can get in,1
can get france to,1
can get france,1
can get foothold,1
can get clearer than,1
can get build,1
can quite,1
can quite get there,1
case am,1
can you do me,1
can you destroy one,1
can you destroy,1
can you copy in,1
can you copy,1
can you confirm whether,1
can you confirm,1
can you commit,1
can you ascertain his,1
can you ascertain,1
can you agree to,1
can you agree,1
can you,1
can yor support wales,1
can yor support,1
can yor,1
can work with that,1
can work with,1
can work well against,1
can work well,1
can work together more,1
can work together during,1
can you do,1
can you get,1
can trust well,1
can you get france,1
cannon to your,1
cannon to,1
cannon,1
candidate for us to,1
candidate for us,1
candidate for,1
candidate,1
can you trust italy,1
can you trust,1
can you support me,1
can you start moving,1
can you start,1
can you promise to,1
can you promise,1
can you please not,1
can you please explain,1
can you please,1
can you not support,1
can you not,1
can you move,1
can you get them,1
can work together austria,1
can work together anyways,1
can work together,1
can work on swinging,1
can use that,1
can use my unit,1
can use my,1
can use munich to,1
can use munich,1
can use,1
can understand why you,1
can understand why,1
can understand what youre,1
can understand what,1
can understand wanting to,1
can understand wanting,1
can understand,1
can turn all our,1
can turn,1
can try to support,1
can try to push,1
can try to keep,1
can try to get,1
can try to,1
can try,1
can walk,1
can walk in,1
can walk in there,1
can win,1
can work on strategy,1
can work on,1
can work long term,1
can work long,1
can work from there,1
can work from,1
can work,1
can win by putting,1
can win by,1
can we split sweden,1
can we,1
can we split,1
can we just compare,1
can we just,1
can we have conversation,1
can we have,1
can we go over,1
can we go,1
can we chat about,1
can we agree to,1
cannon to your south,1
cannot,1
cannot tell,1
cant stab,1
care im,1
care anymore what you,1
care anymore what,1
care anymore,1
care about maintaining at,1
care about maintaining,1
care about it,1
care about,1
care,1
cards,1
captured,1
capitalize on that,1
cant trust me then,1
cant trust me,1
cant trust,1
cant tell who france,1
cant tell who,1
cant tell if france,1
cant tell if,1
cant tell,1
cant stab me like,1
care im happy,1
care im happy to,1
care of,1
carlton of armies but,1
case,1
carve germany up youre,1
carve germany up,1
carve germany,1
carve,1
carpathians and hungary and,1
carpathians and hungary,1
carpathians and,1
carpathians,1
carlton of armies,1
care of your,1
carlton of,1
carlton,1
careful there,1
careful not to provoke,1
careful not,1
careful,1
care what have,1
care what,1
care of your new,1
cant stab me,1
cant say anything nice,1
cannot tell who,1
cant say anything,1
cant handle france,1
cant handle,1
cant guarantee the build,1
cant guarantee the,1
cant guarantee build without,1
cant guarantee build,1
cant guarantee,1
cant get you on,1
cant get you,1
cant get past naples,1
cant get past,1
cant get,1
cant focus on austria,1
cant focus on,1
cant focus,1
cant ever,1
cant do much without,1
cant do much,1
cant do,1
cant,1
cannot tell who russia,1
cant handle france together,1
cant have,1
cant have more,1
cant leave,1
cant say,1
cant really pay too,1
cant really pay,1
cant really,1
cant move what do,1
cant move what,1
cant move,1
cant leave denmark or,1
cant leave denmark,1
cant just get,1
cant have more than,1
cant just,1
cant hes not going,1
cant hes not,1
cant hes,1
cant help but notice,1
cant help but,1
cant help,1
cant have the satisfaction,1
cant have the,1
can trust well ish,1
can trust them yet,1
can quite often,1
can sing diplomatic ballads,1
can sing,1
can shuffle gal out,1
can shuffle,1
can should help us,1
can should help,1
can should,1
can set yourself up,1
can set yourself,1
can set,1
can send you past,1
can send you naval,1
can send you,1
can send ska to,1
can send ska,1
can send,1
can see the summary,1
can see the,1
can see that will,1
can see that,1
can see it either,1
can see it,1
can sing diplomatic,1
can snag,1
can trust them,1
can snag belgium,1
can still manipulate,1
can still make good,1
can still make,1
can still happen if,1
can still happen,1
can still be,1
can still,1
can stick with,1
can stick,1
can start taking dots,1
can start taking,1
can start,1
can spare it but,1
can spare it,1
can spare,1
can solve it,1
can solve,1
can snatch some english,1
can snatch some,1
can snatch,1
can snag belgium this,1
can see how tricky,1
can see how,1
can see,1
can secure greece,1
can really stop you,1
can really stop,1
can really know when,1
can really know,1
can really do much,1
can really do,1
can really directly contact,1
can really directly,1
can really attack are,1
can really attack,1
can really,1
can realistically get to,1
can realistically get,1
can realistically,1
can reach you,1
can reach russian center,1
can reach russian,1
can reach mutually beneficial,1
can reach mutually,1
can reach,1
can quite often quickly,1
can reciprocate,1
can reciprocate but,1
can reciprocate but gotta,1
can retreat to denmark,1
can say is that,1
can say is,1
can say,1
can save sweden so,1
can save sweden,1
can save,1
can revisit this in,1
can retreat to greece,1
can retreat to gas,1
can retreat to,1
can replace,1
can retreat,1
can resolve the east,1
can resolve the,1
can resolve our local,1
can resolve our,1
can resolve,1
can replace your fleet,1
can replace your army,1
can replace your,1
can still manipulate them,1
can stop,1
can stop them,1
can take out,1
can then see if,1
can then see,1
can then,1
can tell neither austria,1
can tell neither,1
can tell,1
can tap sil with,1
can tap sil,1
can tap,1
can talk about helping,1
can talk about,1
can talk,1
can take tunis and,1
can take tunis,1
can take this all,1
can take this,1
can take serbia without,1
can take serbia,1
can take rum or,1
can take rum,1
can take out russia,1
can think,1
can think about,1
can think about moving,1
can to do so,1
can trust now that,1
can trust now,1
can trust me consider,1
can trust anyone,1
can trust and that,1
can trick into letting,1
can top,1
can to try and,1
can to try,1
can to convince them,1
can think of,1
can to convince,1
can to ally with,1
can to ally,1
can to,1
can through,1
can threaten nwy,1
can threaten,1
can tho,1
can think of way,1
can take out france,1
can take mao and,1
can stop them from,1
can take mao,1
can survive,1
can support you into,1
can support you,1
can support vienna tyrolia,1
can support the hold,1
can support that,1
can support stuff up,1
can support stuff,1
can support myself into,1
can support myself,1
can support munich,1
can support marseille or,1
can support marseille,1
can support mao,1
can support from the,1
can support an,1
can support against boh,1
can support against,1
can support,1
can stop turkey and,1
can stop turkey,1
can sus,1
can sus out,1
can sus out their,1
can take,1
can take kie with,1
can take kie,1
can take it for,1
can take it,1
can take his picking,1
can take few and,1
can take few,1
can take edi and,1
can take edi,1
can switch sides and,1
can swap,1
can switch sides,1
can switch,1
can swing the stab,1
can swing the,1
can swing austria towards,1
can swing austria,1
can swing,1
can swap to lon,1
can swap to,1
clearly need to,1
clearly not,1
north sea feel like,1
convinced him,1
convince you to take,1
convince you to move,1
convince you to,1
convince you,1
convince turkey to move,1
convince turkey to,1
convince turkey,1
convince them to support,1
convince them to not,1
convince them to,1
convince them that attacking,1
convince them that,1
convince them otherwise and,1
convince them otherwise,1
convince them,1
convince the austrians that,1
convince the austrians,1
convince the,1
convince russia to worry,1
convince russia to go,1
convince russia to,1
convinced,1
convinced him to,1
control over it sure,1
convinced him to invade,1
convoy an army,1
convoy,1
convos with him,1
convos with,1
convos,1
convo at this point,1
convo at this,1
convo at,1
convo,1
convincing russia to help,1
convincing russia to,1
convincing russia,1
convincing enough that he,1
convincing enough that,1
convincing enough,1
convincing england to go,1
convincing england,1
convincing,1
convinced them again that,1
convinced them again,1
convinced them,1
convince russia,1
convince me im able,1
convince me im,1
convince me,1
conversations been like with,1
conversations been like,1
conversations been,1
conversations,1
conversation with the admin,1
conversation with the,1
conversation with,1
conversation at some point,1
conversation at some,1
conversation at,1
conversation,1
converge in the middle,1
converge in the,1
converge in,1
converge,1
conventional build of,1
conventional,1
controlling the atlantic,1
controlling the,1
controlling,1
control the sea,1
conviction,1
conviction about,1
conviction about killing,1
convince germany to let,1
convince italy to not,1
convince italy to back,1
convince italy to attack,1
convince italy to,1
convince italy,1
convince him to support,1
convince him to,1
convince him,1
convince germany to support,1
convince germany to,1
conviction about killing you,1
convince germany,1
convince england to take,1
convince england to ally,1
convince england to,1
convince england,1
convince austria to actively,1
convince austria to,1
convince austria,1
convince,1
convoy an army from,1
convoy an army into,1
convoy an army up,1
convoy piedmont,1
convoy to france but,1
convoy to france,1
convoy to edi england,1
convoy to edi,1
convoy to,1
convoy this turn,1
convoy this plan destroys,1
convoy this plan,1
convoy this,1
convoy their troops and,1
convoy their troops,1
convoy their,1
convoy that army somewhere,1
convoy that army,1
convoy that,1
convoy so think it,1
convoy so think,1
convoy so,1
convoy route into,1
convoy route,1
convoy piedmont to spain,1
convoy to italy,1
convoy to italy but,1
convoy to livonia,1
convoy to yor,1
convoy your,1
convoy you move out,1
convoy you move,1
convoy you,1
convoy was because if,1
convoy was because,1
convoy was,1
convoy to york instead,1
convoy to york,1
convoy to tuscany,1
convoy to livonia anyway,1
convoy to tunis and,1
convoy to tunis,1
convoy to tun,1
convoy to syrna,1
convoy to sweden you,1
convoy to sweden,1
convoy to swe so,1
convoy to swe,1
convoy to picardy,1
convoy piedmont to,1
convoy one of you,1
convoy and,1
convoy one of their,1
convoy from tunis then,1
convoy from tunis,1
convoy from there to,1
convoy from there,1
convoy from stp and,1
convoy from stp,1
convoy from,1
convoy even without the,1
convoy even without,1
convoy even,1
convoy bel to nwy,1
convoy bel to,1
convoy bel,1
convoy and moves nao,1
convoy and moves,1
convoy and lose unit,1
convoy and lose,1
convoy and dislodging you,1
convoy and dislodging,1
convoy and basically send,1
convoy and basically,1
convoy from wales,1
convoy from wales option,1
convoy gas,1
convoy me,1
convoy one of,1
convoy one,1
convoy next turn,1
convoy next,1
convoy my army to,1
convoy my army,1
convoy my,1
convoy me into albania,1
convoy me into,1
convoy is easily distrupted,1
convoy gas liv,1
convoy is easily,1
convoy is,1
convoy into syria where,1
