,frequency
bur par den nth,1
bur par den,1
bur par,1
bur next year would,1
bur next year,1
bur next,1
bur is pointless and,1
bur is pointless,1
bur is,1
bur in 01,1
bur in,1
bur ber kie then,1
bur which,1
bur which plan to,1
but hopefully isn,1
burgundy,1
busy fighting germany,1
busy fighting,1
busy,1
burgundy where can potentially,1
burgundy where can,1
burgundy where,1
burgundy the mover,1
burgundy the,1
burgundy so in order,1
burgundy so in,1
burgundy so,1
burgundy belgium and britain,1
burgundy belgium and,1
burgundy belgium,1
burgundy and makes sure,1
burgundy and makes,1
burgundy and,1
bur ber kie,1
bur ber,1
bur,1
bulgaria you be there,1
built the,1
built fleet for that,1
built fleet for,1
built fleet,1
built,1
builds we re seeing,1
builds we re,1
builds we,1
builds this year can,1
builds this year,1
builds this,1
builds down,1
builds,1
building this little building,1
building this little,1
building this,1
building the fleet in,1
built the fleet,1
built the fleet as,1
bul,1
bulgaria me constantinople ankara,1
bulgaria you be,1
bulgaria you,1
bulgaria this turn,1
bulgaria this,1
bulgaria so it couldn,1
bulgaria so it,1
bulgaria so,1
bulgaria me constantinople,1
bul russian,1
bulgaria me,1
bulgaria breach so before,1
bulgaria breach so,1
bulgaria breach,1
bulgaria,1
bul russian bla ank,1
bul russian bla,1
busy fighting germany or,1
busy freaking,1
busy freaking out,1
but didn,1
but either,1
but dont want to,1
but dont want,1
but dont think ill,1
but dont think,1
but dont like this,1
but dont like,1
but dont,1
but don think,1
but don know if,1
but don know,1
but don,1
but do feel like,1
but do feel,1
but do consider turkey,1
but do consider,1
but do,1
but either is,1
but either is better,1
but evaded,1
but he,1
but hes very concerned,1
but hes very,1
but hes,1
but he will be,1
but he will,1
but he acting not,1
but he acting,1
but have ah,1
but evaded that,1
but have,1
but germany in bur,1
but germany in,1
but germany as approached,1
but germany as,1
but germany,1
but evaded that part,1
but didn choose,1
but despite your betrayal,1
busy freaking out about,1
but despite your,1
but also don,1
but also,1
but all is well,1
but all is,1
but all,1
but,1
busy with turkey we,1
busy with turkey,1
busy with,1
busy this weekend hard,1
busy this weekend,1
busy this evening so,1
busy this evening,1
busy this,1
busy it frees me,1
busy it frees,1
busy it,1
but also don especially,1
but also would,1
but also would have,1
but at the,1
but combined with my,1
but combined with,1
but combined,1
but but and you,1
but but and,1
but but,1
but at the same,1
but at least restored,1
but and,1
but at least,1
but at,1
but as soon as,1
but as soon,1
but as,1
but and you didn,1
but and you,1
building the fleet,1
building the,1
building and get me,1
bounce you,1
bre sil war,1
bre sil,1
bre par and mar,1
bre par and,1
bre par,1
bre,1
brainstorm to what can,1
brainstorm to what,1
brainstorm to,1
brainstorm,1
bout it,1
bout,1
bounced from uk,1
bounced from,1
bounced,1
bounce you in trie,1
bounce you in sweden,1
bre sil war swe,1
bre wal,1
bre wal yor,1
brest eventually,1
brilliantly to the,1
brilliantly to,1
brilliantly,1
briefly and the turks,1
briefly and the,1
briefly and,1
briefly,1
brest but will park,1
bre wal yor lon,1
brest but will,1
brest but,1
brest,1
breach so before forgive,1
breach so before,1
breach so,1
breach,1
bounce you in,1
bounce them there since,1
bring,1
bounce them there,1
both still,1
both sides to keep,1
both sides to,1
both sides,1
both par mar are,1
both par mar,1
both par,1
both of us,1
both of them forces,1
both of them at,1
both of them,1
both of our peace,1
both of our,1
both of,1
both net from the,1
both net from,1
both net,1
both still around,1
both took,1
both took us,1
bounce off each,1
bounce them out there,1
bounce them out,1
bounce them,1
bounce out of rum,1
bounce out of,1
bounce out,1
bounce off each other,1
bounce off,1
both took us out,1
bounce in the black,1
bounce in the,1
bounce in,1
bounce,1
both you and france,1
both you and,1
both you,1
brilliantly to the point,1
bring the,1
building and get,1
build an,1
build here though,1
build here,1
build from them each,1
build from them,1
build from one of,1
build from one,1
build from,1
build fleet in marseilles,1
build fleet in brest,1
build fleet in,1
build fleet,1
build by the way,1
build by the,1
build by,1
build another unit this,1
build another unit,1
build another,1
build here though so,1
build of,1
build of rome,1
build to use on,1
building,1
build will be fleet,1
build will be,1
build will,1
build units in tri,1
build units in,1
build units,1
build to use,1
build second,1
build to,1
build there,1
build stp or stp,1
build stp or,1
build stp,1
build second southern fleet,1
build second southern,1
build an army,1
build,1
bring the fantasy,1
budapest,1
britain tend to work,1
britain tend to,1
britain tend,1
britain russia paradigm often,1
britain russia paradigm,1
britain russia,1
britain or anything else,1
britain or anything,1
britain or,1
britain help while can,1
britain help while,1
britain help,1
britain and just transfer,1
britain and just,1
britain and,1
britain,1
bring the fantasy to,1
britain yet,1
britain yet but,1
britain yet but ill,1
btw rumour has,1
bud vie in spring,1
bud vie,1
bud ven sev all,1
bud ven,1
bud asap,1
bud,1
btw rumour has it,1
btw rumour,1
british,1
btw,1
broken,1
british since ll have,1
british since ll,1
british since,1
british for the time,1
british for,1
but hopefully,1
but hopefully isn too,1
can probably guess just,1
can be powerful alliance,1
can be good allies,1
can be good,1
can be flexible and,1
can be flexible,1
can be,1
can attack russia together,1
can attack russia,1
can attack,1
can agree to,1
can agree,1
can afford is war,1
can afford is,1
can afford,1
can actually use,1
can actually be useful,1
can actually be,1
can actually,1
can be powerful,1
can be sultan,1
but hoping,1
can be useful,1
can disband pru if,1
can disband pru,1
can disband,1
can cover london this,1
can cover london,1
can cover,1
can convince turkey to,1
can convince turkey,1
can convince,1
can build there,1
can build,1
can bounce you in,1
can bounce you,1
can bounce,1
can both attack russia,1
can both attack,1
can be useful to,1
can,1
call me good player,1
call me good,1
call me,1
by the,1
by telling me that,1
by telling me,1
by telling,1
by supporting ruh to,1
by supporting ruh,1
by supporting,1
by simply saying in,1
by simply saying,1
by simply,1
by russia for rum,1
by russia for,1
by russia and making,1
by russia and,1
by russia,1
by italy is,1
by italy,1
by the black,1
by the black sea,1
by the way,1
cagey,1
call here and you,1
call here and,1
call here,1
call,1
cagey and conservative with,1
cagey and conservative,1
cagey and,1
by yourself,1
by threatening,1
by you in two,1
by you in,1
by you,1
by working together,1
by working,1
by threatening russia which,1
by threatening russia,1
can do,1
can do against,1
can do against turkey,1
can if you retreat,1
can leverage,1
can let you know,1
can let you,1
can let,1
can launch counter attack,1
can launch counter,1
can launch,1
can keep your boats,1
can keep your,1
can keep talking,1
can keep stirring up,1
can keep stirring,1
can keep,1
can just move straight,1
can just move,1
can just bounce them,1
can just bounce,1
can leverage that,1
can make,1
can make it,1
can potentially,1
can probably guess,1
can probably,1
can pressure that arm,1
can pressure that,1
can pressure,1
can potentially support you,1
can potentially support,1
can only support,1
can make it convincing,1
can only,1
can nip france in,1
can nip france,1
can nip,1
can move into galicia,1
can move into,1
can move,1
can just,1
can if you,1
can do and,1
can if,1
can find the,1
can find,1
can explain my reasoning,1
can explain my,1
can explain,1
can expect that fleet,1
can expect that,1
can expect,1
can even rotate on,1
can even rotate,1
can even,1
can easily take swe,1
can easily take,1
can easily,1
can do to stop,1
can do to,1
can do and also,1
can find the original,1
can focus,1
can focus on,1
can get there but,1
can help against germany,1
can help against,1
can help,1
can have sweden,1
can have,1
can get your 5th,1
can get your,1
can get there,1
can focus on battening,1
can get over lagergate,1
can get over,1
can get online again,1
can get online,1
can get my fleets,1
can get my,1
can get,1
by it than on,1
by it than,1
by it,1
but it the best,1
but need,1
but my main questions,1
but my main,1
but my advice about,1
but my advice,1
but my,1
but munich is holding,1
but munich is,1
but munich,1
but maybe can make,1
but maybe can,1
but maybe,1
but may suggest you,1
but may suggest,1
but may,1
but long term he,1
but long term,1
but need to,1
but need to brainstorm,1
but negotiating,1
but otherwise holding,1
but really think,1
but really don think,1
but really don,1
but really,1
but pretty sure could,1
but pretty sure,1
but otherwise holding everything,1
but otherwise,1
but negotiating peace,1
but not thrilled at,1
but not thrilled,1
but not,1
but neither or you,1
but neither or,1
but neither,1
but negotiating peace an,1
but long,1
but it the,1
but seems,1
but it must be,1
but ill see,1
but ill let you,1
but ill let,1
but ill hear you,1
but ill hear,1
but ill be up,1
but ill be,1
but ill,1
but if you don,1
but if you,1
but if they surrender,1
but if they,1
but if did would,1
but if did,1
but if,1
but hoping that can,1
but hoping that,1
but ill see in,1
but im,1
but im in,1
but it just the,1
but it must,1
but it looked the,1
but it looked,1
but it lock rather,1
but it lock,1
but it ll make,1
but it ll,1
but it just,1
but im in favor,1
but it,1
but is the right,1
but is the,1
but is,1
but in my experience,1
but in my,1
but in,1
